,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM
Childspeak,0,0,0,0,0,0,0,0,0.261732834,0.762022813,0.980628037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiskey Sasquatch,0,0,0,0,0,0,0,0,0,0.208853324,0.687856822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audio Moonshine,0,0,0,0,0,0,0,0,0,0.182109977,0.178601873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hers,0,0,0,0,0,0,0,0,0,0.790763577,0.863818007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise,0,0,0,0,0,0,0,0,0,0.802849961,0.61313392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cosmonautical,0,0,0,0,0,0,0,0,0,0.973994142,0.750314599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spirit Award,0,0,0,0,0,0,0,0,0,0.481511714,0.054454292,0.316103148,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0.895566501,0.606669518,0.76250892,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Tivel,0,0,0,0,0,0,0,0,0,0.542053918,0.143686369,0.187208843,0,0,0,0,0,0,0,0,0,0,0,0,0
ACUDETH,0,0,0,0,0,0,0,0,0,0,0.80740175,0.848857823,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacq Maliq,0,0,0,0,0,0,0,0,0,0,0.531164092,0.450168275,0,0,0,0,0,0,0,0,0,0,0,0,0
Motherhood,0,0,0,0,0,0,0,0,0,0,0.046473616,0.616729848,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloods,0,0,0,0,0,0,0,0,0,0,0.914983432,0.143467424,0,0,0,0,0,0,0,0,0,0,0,0,0
Karen Meat,0,0,0,0,0,0,0,0,0,0,0.2688297,0.740042449,0,0,0,0,0,0,0,0,0,0,0,0,0
Bugg,0,0,0,0,0,0,0,0,0,0,0.552614563,0.098152507,0,0,0,0,0,0,0,0,0,0,0,0,0
Laura Veirs,0,0,0,0,0,0,0,0,0,0,0.300173182,0.900305367,0,0,0,0,0,0,0,0,0,0,0,0,0
Balms,0,0,0,0,0,0,0,0,0,0,0.295274116,0.210976929,0,0,0,0,0,0,0,0,0,0,0,0,0
Burl Haggard,0,0,0,0,0,0,0,0,0,0,0.875492504,0.740246805,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosie Tucker,0,0,0,0,0,0,0,0,0,0,0.620657326,0.542094266,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Mountain,0,0,0,0,0,0,0,0,0,0,0.05462326,0.2698202,0.202403217,0,0,0,0,0,0,0,0,0,0,0,0
Wildermiss,0,0,0,0,0,0,0,0,0,0,0.808095267,0.040896036,0.186008222,0,0,0,0,0,0,0,0,0,0,0,0
1788-L,0,0,0,0,0,0,0,0,0,0,0,0.939933812,0.951418932,0,0,0,0,0,0,0,0,0,0,0,0
Bibi Mcill,0,0,0,0,0,0,0,0,0,0,0,0.347358342,0.761516961,0,0,0,0,0,0,0,0,0,0,0,0
Spooky Mansion,0,0,0,0,0,0,0,0,0,0,0,0.03287227,0.642026007,0,0,0,0,0,0,0,0,0,0,0,0
Ana Lete,0,0,0,0,0,0,0,0,0,0,0,0.508968326,0.298019863,0,0,0,0,0,0,0,0,0,0,0,0
Brooke Would,0,0,0,0,0,0,0,0,0,0,0,0.953742605,0.614286554,0.866239555,0,0,0,0,0,0,0,0,0,0,0
Cumulus,0,0,0,0,0,0,0,0,0,0,0,0.339485833,0.776802522,0.684814859,0,0,0,0,0,0,0,0,0,0,0
Bibi McGill,0,0,0,0,0,0,0,0,0,0,0,0,0.005500536,0.171715348,0,0,0,0,0,0,0,0,0,0,0
Why Bonnie,0,0,0,0,0,0,0,0,0,0,0,0,0.531015481,0.451317998,0,0,0,0,0,0,0,0,0,0,0
Bitch'n,0,0,0,0,0,0,0,0,0,0,0,0,0.095393091,0.099122499,0,0,0,0,0,0,0,0,0,0,0
Naked Giants,0,0,0,0,0,0,0,0,0,0,0,0,0.682068665,0.29705244,0,0,0,0,0,0,0,0,0,0,0
King Ropes,0,0,0,0,0,0,0,0,0,0,0,0,0.880919734,0.718492158,0,0,0,0,0,0,0,0,0,0,0
Lander,0,0,0,0,0,0,0,0,0,0,0,0,0.382484866,0.893577501,0,0,0,0,0,0,0,0,0,0,0
Styles in Black,0,0,0,0,0,0,0,0,0,0,0,0,0.756832577,0.261947175,0,0,0,0,0,0,0,0,0,0,0
Aan,0,0,0,0,0,0,0,0,0,0,0,0,0.260227657,0.320832693,0.702812221,0,0,0,0,0,0,0,0,0,0
Chame & OG,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121716518,0.81516035,0.124236387,0,0,0,0,0,0,0,0,0
Drug Apts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731329233,0.008803937,0.363132985,0,0,0,0,0,0,0,0,0
Smokey Brights,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70562767,0.465609149,0.831188683,0,0,0,0,0,0,0,0,0
Jack Burton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368596515,0.565502568,0.142642408,0,0,0,0,0,0,0,0,0
Whitney Ballen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755353692,0.539418762,0.181724033,0,0,0,0,0,0,0,0,0
Delta Mud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150429933,0.45569879,0,0,0,0,0,0,0,0,0
Ekali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512645304,0.466163099,0,0,0,0,0,0,0,0,0
Frim Fram 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236046018,0.415467718,0,0,0,0,0,0,0,0,0
Knuckle Pups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471187447,0.743236356,0,0,0,0,0,0,0,0,0
Sparatik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479160979,0.474758527,0,0,0,0,0,0,0,0,0
Chris King & the gutterballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08970764,0.762484363,0,0,0,0,0,0,0,0,0
Ryan Peck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564669202,0.77250537,0.572287367,0,0,0,0,0,0,0,0
Cavegreen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519938,0.241000801,0.471554641,0,0,0,0,0,0,0,0
Mostly Muff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551801718,0.150031341,3.99E-05,0,0,0,0,0,0,0,0
Madge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416399263,0.150932663,0.686844608,0,0,0,0,0,0
Vertical Scratchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854919499,0.764547947,0.135216529,0,0,0,0,0,0
Axiom Tha Wyze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.990876046,0.659797842,0,0,0,0,0,0
Night Beats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994924911,0.222009792,0,0,0,0,0,0
Auzomatik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566679957,0.259498715,0,0,0,0,0,0
Shadowlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214310898,0.837341795,0,0,0,0,0,0
Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96268868,0.729335505,0.382846165,0,0,0,0,0
Deuce Parks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125286213,0.961730094,0.091913411,0,0,0,0,0
Sheep Bridge Jumpers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372510395,0.093876619,0.969631569,0,0,0,0,0
Joshy Soul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281661045,0.284988999,0.636186935,0,0,0,0,0
Bodies on the Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981444769,0.163859586,0.933485812,0,0,0,0,0
All Star Opera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370885755,0.823945673,0.103535266,0,0,0,0
Deeveaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059921983,0.936144381,0.625463539,0,0,0,0
The House of Aura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711710931,0.065962827,0.050671762,0,0,0,0
Video Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189978227,0.35325265,0.738173157,0.240728009,0,0,0
good Not Great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400490262,0.526876011,0.832111771,0.629309699,0,0,0
Small Million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986323749,0.480773379,0.002794894,0,0,0
The Golden Fleece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9548521,0.876450612,0.185872713,0,0,0
Mike Krol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338752383,0.2556199,0.667673584,0,0
Ponderay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816760273,0.702613257,0.166966011,0,0
Cherry Glazerr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32408022,0.574940203,0.448941535,0,0
Sol Rising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227039874,0.363532096,0.129599035,0,0
New Move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030546982,0.319687159,0.743943243,0,0
Lee Corey Oswald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173886476,0.232674279,0,0
Hillstomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674809703,0.843140679,0,0
Effy K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079213834,0.401097355,0,0
Spooky Mansion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321178744,0.62975293,0,0
Zee Will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40342481,0.966929381,0.261373838,0
Kastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752141628,0.184457879,0.918286496,0
Effy K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409962304,0.570304047,0.017163175,0
Anemone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633465918,0.230618803,0.664162456,0
Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009454872,0.521120432,0.692613439,0
Deejay Fangy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838396938,0.768325441,0.302631957,0
Spirit Award,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833987018,0.512408229,0.541481991,0
The Love Bunch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03085374,0.434180127,0
Lonesome Jetboat Ramblers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503614311,0.306396446,0.581551643
Jared Mees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520315384,0.537156702
The Brents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166855027,0.312737446
