,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM,2:00 AM
Delta Mud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.850496349,0.680181982,0,0,0,0,0,0,0
Ekali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978463385,0.549026189,0,0,0,0,0,0,0
Frim Fram 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433783353,0.572900756,0,0,0,0,0,0,0
Knuckle Pups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629264464,0.279948546,0,0,0,0,0,0,0
Sparatik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075164295,0.644330883,0,0,0,0,0,0,0
Chris King & the gutterballs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375916449,0.02955823,0,0,0,0,0,0,0
Ryan Peck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542906606,0.347758873,0,0,0,0,0,0,0
Cavegreen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768821395,0.679682254,0,0,0,0,0,0,0
Mostly Muff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242448681,0.490514599,0,0,0,0,0,0,0
Madge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415658491,0.395961382,0.234279935,0,0,0,0,0,0
Vertical Scratchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290044755,0.758768281,0.673451029,0,0,0,0,0,0
Axiom Tha Wyze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302810753,0.004384396,0,0,0,0,0,0
Night Beats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133894202,0.5684728,0,0,0,0,0,0
Auzomatik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274684514,0.030542716,0,0,0,0,0,0
Shadowlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.717749751,0.005063214,0,0,0,0,0,0
Dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891856042,0.779101962,0.611928985,0,0,0,0,0
Deuce Parks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836406928,0.317588373,0.640204673,0,0,0,0,0
Sheep Bridge Jumpers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537665072,0.130038118,0,0,0,0,0
Joshy Soul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171050613,0.86361601,0,0,0,0,0
Bodies on the Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647680917,0.387487517,0,0,0,0,0
All Star Opera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551296186,0.943190046,0.849812231,0,0,0,0
Deeveaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550220258,0.085346038,0.479735688,0,0,0,0
The House of Aura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541263324,0.847660739,0,0,0,0
Video Age,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357384204,0.289162566,0.944238681,0,0,0
good Not Great,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949298722,0.105921019,0.888993828,0,0,0
Small Million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019316205,0.894833874,0.231458768,0,0,0
The Golden Fleece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965758907,0.048060972,0.409051776,0,0,0
Mike Krol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570873121,0.906185256,0.406642574,0,0
Ponderay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956703773,0.608902676,0.253631867,0,0
Cherry Glazerr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196592858,0.399267141,0.213397091,0,0
Sol Rising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803866883,0.221177524,0.68904595,0,0
New Move,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77959417,0.842460453,0.215523217,0,0
Lee Corey Oswald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9147424,0.460562941,0,0
Hillstomp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972484558,0.244493208,0,0
Effy K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02980916,0.315643284,0,0
Spooky Mansion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769419536,0.731816355,0,0
Zee Will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846733785,0.777684976,0.188917158,0
Kastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11787143,0.629908437,0.478768607,0
Effy K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622722366,0.796391684,0.781209787,0
Anemone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373235245,0.858788059,0
Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754123648,0.343625475,0
Deejay Fangy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007021536,0.349405016,0
Spirit Award,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452829268,0.614412086,0
The Love Bunch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209067018,0.700827402,0
Lonesome Jetboat Ramblers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87343227,0.060682355,0.851017099
Jared Mees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184034056,0.688534841
The Brents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800484627,0.870653269
